company_name,board_slug
Deel,deel
Ibotta,ibotta
Guild,guild
Manychat,manychat
RADAR,radar
Snowflake,snowflake
Plaid,plaid
Notion,notion
Zapier,zapier
Confluent,confluent
Homebot,homebot
Envoy,envoy
SonderMind,sondermind
Iterable,iterable
Semgrep,semgrep
Secureframe,secureframe
Propelus,propelus
Buffer,buffer
Help Scout,helpscout
Close,close
Hubstaff,hubstaff
Ghost,ghost
Loom,loom
Quora,quora
Mercury,mercury
Supabase,supabase
PostHog,posthog
Stedi,stedi
ReCharge,recharge
Float,float
Oyster,oyster
Dovetail,dovetail
Airbyte,airbyte
Hightouch,hightouch
